R1010

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      80         40          0          0        230          0   
    1      41         49          1         18        181         10   
    2      35         17          2        107         70         10   
    3      55         45          3        144        136         10   
    4      55         20          1        160        169         10   
    5      15         30          2         68         54         10   
    6      25         30          3        195        119         10   
    7      20         50          1        166        101         10   
    8      10         43          2         40        115         10   
    9      55         60          3        163        117         10   
   10      30         60          1         23        144         10   
   11      20         65          2        169         87         10   
   12      50         35          3         38         83         10   
   13      30         25          1         10        179         10   
   14      15         10          2         85         62         10   
   15      30          5          3         86         81         10   
   16      10         20          1          2         95         10   
   17       5         30          2         46        177         10   
   18      20         40          3         47        107         10   
   19      15         60          1        178         96         10  
   20      45         65          2        190        146         10   
   21      45         20          3         67         82         10   
   22      45         10          3        196        117         10   
   23      55          5          1          5         88         10   
   24      65         35          2         89        173         10   
   25      65         20          3        123        186         10   
   26      45         30          1        102        152         10   
   27      35         40          2        205         57         10   
   28      41         37          3        129         59         10   
   29      64         42          1         58         83         10   
   30      40         60          2         27         91         10   
   31      31         52          3         96         70         10   
   32      35         69          1        170        161         10   
   33      53         52          2         96         57         10   
   34      65         55          3         85        137         10   
   35      63         65          1        172        163         10   
   36       2         60          2        174         71         10   
   37      20         20          3         43        154         10   
   38       5          5          1         56        103         10   
   39      60         12          2        151         64         10   
   40      40         25          3         16        105         10   
   41      42          7          1         40        117         10   
   42      24         12          2        160         55         10   
   43      23          3          3          6        152         10   
   44      11         14          1        142         89         10   
   45       6         38          2         57         59         10   
   46       2         48          3         33        137         10   
   47       8         56          1         71         71         10   
   48      13         52          2        165        185         10   
   49       6         68          3         67        128         10   
   50      47         47          1         89        144         10 
   51      49         58          3        172        108         10   
   52      27         43          2         70         72         10   
   53      37         31          1         47        115         10   
   54      57         29          1        178        160         10   
   55      63         23          2         42        156         10   
   56      53         12          3         83        150         10   
   57      32         12          2        154        121         10   
   58      36         26          1         16        210         10   
   59      21         24          1        205         47         10   
   60      17         34          3        116        182         10 
   61      12         24          2        153         96         10   
   62      24         58          1        161         78         10   
   63      27         69          3         83         64         10   
   64      15         77          1        175         93         10   
   65      62         77          2         68         79         10   
   66      49         73          1         99        147         10   
   67      67          5          2        174        103         10   
   68      56         39          3          0        162         10   
   69      37         47          1         19         70         10   
   70      37         56          1        178        198         10  
   71      57         68          2        166         97         10   
   72      47         16          1         71         55         10   
   73      44         17          2        100         98         10   
   74      46         13          1        165        169         10   
   75      49         11          3         72         89         10   
   76      49         42          1        194         93         10   
   77      53         43          2         48        199         10   
   78      61         52          3         92        116         10   
   79      57         48          1        198        112         10   
   80      56         37          2        206        198         10 
   81      55         54          1          0        114         10   
   82      15         47          2        184         75         10   
   83      14         37          2        107         64         10   
   84      11         31          1         11        121         10   
   85      16         22          3         88        111         10   
   86       4         18          1        190        114         10   
   87      28         18          2         63        113         10   
   88      26         52          1        125         94         10   
   89      26         35          2        167        196         10   
   90      31         67          2         85        115         10 
   91      15         19          1        150        180         10   
   92      22         22          2         18         48         10   
   93      18         24          1        169        199         10   
   94      26         27          2         90        120         10   
   95      25         24          1         29         59         10   
   96      22         27          2        125        155         10   
   97      25         21          2        123        153         10   
   98      19         21          3         48         78         10   
   99      20         26          1         73        103         10   
  100      18         18          2        165        195         10   
