R105

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      80         40          0          0        230          0   
    1      41         49          1        151        181         10   
    2      35         17          2         40         70         10   
    3      55         45          3        106        136         10   
    4      55         20          1        139        169         10   
    5      15         30          2         24         54         10   
    6      25         30          3         89        119         10   
    7      20         50          1         71        101         10   
    8      10         43          2         85        115         10   
    9      55         60          3         87        117         10   
   10      30         60          1        114        144         10   
   11      20         65          2         57         87         10   
   12      50         35          3         53         83         10   
   13      30         25          1        149        179         10   
   14      15         10          2         32         62         10   
   15      30          5          3         51         81         10   
   16      10         20          1         65         95         10   
   17       5         30          2        147        177         10   
   18      20         40          3         77        107         10   
   19      15         60          1         66         96         10   
   20      45         65          2        116        146         10   
   21      45         20          3         52         82         10   
   22      45         10          3         87        117         10   
   23      55          5          1         58         88         10   
   24      65         35          2        143        173         10   
   25      65         20          3        156        186         10   
   26      45         30          1        122        152         10   
   27      35         40          2         27         57         10   
   28      41         37          3         29         59         10   
   29      64         42          1         53         83         10   
   30      40         60          2         61         91         10   
   31      31         52          3         40         70         10   
   32      35         69          1        131        161         10   
   33      53         52          2         27         57         10   
   34      65         55          3        107        137         10   
   35      63         65          1        133        163         10   
   36       2         60          2         41         71         10   
   37      20         20          3        124        154         10   
   38       5          5          1         73        103         10   
   39      60         12          2         34         64         10   
   40      40         25          3         75        105         10   
   41      42          7          1         87        117         10   
   42      24         12          2         25         55         10   
   43      23          3          3        122        152         10   
   44      11         14          1         59         89         10   
   45       6         38          2         29         59         10   
   46       2         48          3        107        137         10   
   47       8         56          1         41         71         10   
   48      13         52          2        155        185         10   
   49       6         68          3         98        128         10   
   50      47         47          1        114        144         10 
